sentence_lemma	sentence_token	index_lemma	index_token	lemma
kalla till ordinarie bolagsstämma å ilotell du nord härstädes lördag den 29 denna $ 10 för $	kallas till ordinarie bolagsstämma å Ilotell du Nord härstädes lördagen den 29 dennes kl. 10 förmidd . 	3	3	bolagsstmma
källås härigenom till ordinarie bolagsstämma ä bolag kontor $ kungsträdgirdsgatan 12 $ stockholm $ lördag den 29 juni 1895 $ 12 middag $	källås härigenom till ordinarie bolagsstämma ä bolagets kontor , Kungsträdgirdsgatan 12 , Stockholm , Lördagen den 29 Juni 1895 kl. 12 middagen . 	4	4	bolagsstmma
kalla härigenom till ordinarie bolagsstämma å stadshuset i piteå måndag den 22 juni 1896 $ 5 $ m $	kallas härigenom till ordinarie bolagsstämma å Stadshuset i Piteå Måndagen den 22 Juni 1896 kl. 5 e. m . 	4	4	bolagsstmma
kalla till extra bolagsstämma ä staus hotell i karlstad onsdag den röd innevarande april $ lie $ m $ då beslut komin att fatta om låg försäljningspris af bolag tillhörig ångare $ lil jedahl $ $	kallas till extra bolagsstämma ä staus hotellet i Karlstad Onsdagen den röde innevarande April kl. li f. m . då beslut kominer att fattas om lägsta försäljningspriset af Bolaget tillhöriga ångaren ” Lil jedahl ” . 	3	3	bolagsstmma
kalla härigenom till ordinarie bolagsstämma å börs i stockholm fredag den $ nästkommande september $ $ xi $ m $ revisionsberättelse tillhandahålla å stockholm enskild bank afdelningskontor $	kallas härigenom till ordinarie bolagsstämma å Börsen i Stockholm Fredagen den 13 nästkommande September , kl. XI f. m . Revisionsberättelsen tillhandahållas å Stockholms enskilda banks afdelningskontor . 	4	4	bolagsstmma
bolagsstämma i mönsteräs den 29 $ april $ hwarom meddelande till barometer fledde per telefon $ ha wär meddelare anhällit fä upplysa $ att den i referat sörekommande namn c $ äberg böra wara c $ boberg $ uppbyggelsepredikant frän stockholm $ redaktör af den frireligiös tidflriften sannings $ och hwilken äswen wid bolagsstämma huswudsalligen anföra $ att den flulle salla flugga vä all nykterhetswänliga aktieegare säsom flrymtare $ om den bleswe kändt $ att en egde aktie i en ängbät $ hwarä utflänkning af fpritwaror egde rum $ hwarför bolagsstämma böra besluta att ätminstone för ett vara besluta om utflänkningsrättigheternas upphörande ä $ prins bernadotte $ $	bolagsstämma i Mönsteräs den 29 sistl. april , hwarom meddelandet till Barometern fledde per telefon , har wär meddelare anhällit fä upplysa , att det i referatet sörekommande namnet C . Äberg bör wara C . Boberg , uppbyggelsepredikant frän Stockholm , redaktör af den frireligiösa tidflriften Sanningswittnet , och hwilken äswen wid bolagsstämman huswudsalligen anförde , att det flulle salla flugga vä alla nykterhetswänliga aktieegare säsom flrymtare , om det bleswe kändt , att de egde aktier i en ängbät , hwarä utflänkning af fpritwaror egde rum , hwarför bolagsstämman borde besluta att ätminstone för ett är besluta om utflänkningsrättigheternas upphörande ä " Prins Bernadotte " . 	0	0	bolagsstmma
delegarne i $ ajna kalla härmed till ordinarie bolagsstämma i göteborg å hr th $ ahrenbergs kontor torsdag den 28 slars 1895 $ $ $ m $ göteborg den 7 mars 1895 $	Delegarne i Angfartygs-Aktiebolaget Ajna kallas härmed till ordinarie Bolagsstämma i Göteborg å Hr Th . Ahrenbergs kontor Torsdagen den 28 Slars 1895 kl. 5,30 e. m . Göteborg den 7 Mars 1895 . 	8	8	bolagsstmma
kalla härmed till ordinarie bolagsstämma $ som hålla å stadshotell i karlstad fiedagen den 20 nästa september $ 12 midd $	kallas härmed till ordinarie bolagsstämma , som hålles å Stadshotellet i Karlstad Fiedagen den 20 nästa September kl. 12 midd . 	4	4	bolagsstmma
den vid dag bolagsstämma $ thule besluta utdelning å tjugo krona pr aktie finna att mot kvittera kupong lyfta i skandinavisk $ härstädes $ $ m $ den 5 denna $	Den vid dagens bolagsstämma iÅngfartygs-Aktiebolaget Thule beslutade utdelningen å Tjugo Kronor pr aktie finnes att mot kvitterad kupong lyfta i Skandinaviska Kredit-Aktiebolaget härstädes f. o. m . den 5 dennes . 	3	3	bolagsstmma
vid den extra bolagsstämma $ som hålla den 26 januari 1900 $ framlägga direktion förslag till ändring i $ 1 i den för järnväg gälla bolagsordning $ hvarmed denna paragraf skola erhålla följa lydelse $ $ bolag berättiga äfven att $ efter bolagsstämma beslut $ teckna aktie i andra järnväg och företag $ som afse att främja bolag verksamhet $ äfvensom att $ där så kunna aftalas $ trafikera andra järnväg $ $ direktion hemställa nu om antagande af denna försl vr $	Vid den extra bolagsstämma , som hölls den 26 januari 1900 , framlade direktionen förslag till ändring i § 1 i den för järnvägen gällande bolagsordningen , hvarmed denna paragraf skulle erhålla följande lydelse : » Bolaget berättigas äfven att , efter bolagsstämmans beslut , teckna aktier i andra järnvägar och företag , som afse att främja bolagets verksamhet , äfvensom att , där så kan aftalas , trafikera andra järnvägar . » Direktionen hemställde nu om antagande af detta försl vr . 	3	3	bolagsstmma
delegarne i ångfartygaahtleliolaget svan kalla till ordinarie bolagsstämma å herr $ häradshöfding hilmer alméns kontor $ vestra hamngatan 2 härstädes $ fredag den 29 denna $ 1 middag $	Delegarne i Ångfartygaahtleliolaget Svanen kallas till ordinarie bolagsstämma å herr v. Häradshöfding Hilmer Alméns kontor , Vestra Hamngatan 2 härstädes , Fredagen den 29 dennes kl. 1 middagen . 	7	7	bolagsstmma
brandförsäkring sbolaget tor ha den 2 denna i bolag lokal $ klara bergsgatan 23 $ ordinarie bolagsstämma under ordförandeskap af kontreamiralen 0 $	Brandförsäkring sbolaget Tor hade den 2 dennes i bolagets lokal , Klara Bergsgatan 23 , ordinarie bolagsstämma under ordförandeskap af kontreamiralen 0 . 	16	16	bolagsstmma
kalla härmed till extra bolagsstämma å mora hotell lördag den 18 $ november klocka 12 på dag för att besluta i fråga om tillsättande af särskild förvaltare samt i frå gor $ som därmed ega sammanhang $	kallas härmed till extra bolagsstämma å Mora Hotell Lördagen den 18 näst•instundande November klockan 12 på dagen för att besluta i fråga om tillsättande af särskild förvaltare samt i frå gor , som därmed ega sammanhang . 	4	4	bolagsstmma
brandförsäkrings för byggnad på land besluta på ordinarie bolagsstämma i dag att med afslag af i sak väcka motion anmoda sig styrelse att med behöflig biträde taga i öfvervägande fråga örn införande af lösöreförsäkring $ örn nedsättning af försäkrings och förlängning af densamma in betalningstid samt till bolagsstämma 1896 inkomma med yttrande däröfver $	brandförsäkringsvärket för byggnader på landet beslöt på ordinarie bolagsstämma i dag att med afslag af i saken väckta motioner anmoda sin styrelse att med behöfligt biträde taga i öfvervägande frågan örn införande af lösöreförsäkring , örn nedsättning af försäkringsafgifter och förlängning af desammas in betalningstid samt till bolagsstämma 1896 inkomma med yttrande däröfver . 	8	8	bolagsstmma
åt styrelse att bestämma den plats inom elfsborg län $ där bolagsstämma hvartannat år skola hålla $	åt styrelsen att bestämma den plats inom Elfsborgs län , där bolagsstämman hvartannat år skall hållas . 	11	11	bolagsstmma
delegarne i kopparberg län hästförsäkringsbolag kalla till ordinarie bolagsstämma å stadshotell i falun måndag den 26 augusti 1895 $ 5 $ m $	Delegarne i Kopparbergs Läns Hästförsäkringsbolag kallas till ordinarie bolagsstämma å Stadshotellet i Falun Måndagen den 26 Augusti 1895 kl. 5 e. m . 	8	8	bolagsstmma
kalla härigenom till ordinarie bolagsstämma å grand hotel haglund härstädes lördag d $	kallas härigenom till ordinarie bolagsstämma å Grand Hotel Haglund härstädes lördagen d . 	4	4	bolagsstmma
20 $ 1 $ m $ lagtima kretsstämma i sockenhus med bolagsman inom hoby brandstodskrets för 1 $ val af ordförande $ vice ordförande och en ledamot i krets $ 2 $ val af tre suppleant och 3 $ val af ombud vid den blifvande bolagsstämma m $ m $	20 kl. 1 e. m . lagtima kretsstämma i sockenhuset med bolagsmännen inom Hoby brandstodskrets för 1 ) val af ordförande , vice ordförande och en ledamot i kretsnämden , 2 ) val af tre suppleanter och 3 ) val af ombud vid den blifvande bolagsstämman m . m . 	45	45	bolagsstmma
behaga sammanträda till ordinarie bolagsstämma å rådhus i upsala lördag il 27 april 1895 $ 5 $ m $	behagade sammanträda till ordinarie bolagsstämma å Rådhuset i Upsala Lördagen ilen 27 April 1895 kl. 5 e. m . 	4	4	bolagsstmma
ställe vid ordinarie bolagsstämma den 8 maj 1896 till ledamot i styrelse blifvit invälja handlande lars johan lundgren och akademisekreterare johan otto ernberg $ att ledamot af styrelse $ d $	ställe vid ordinarie bolagsstämma den 8 Maj 1896 till ledamöter i styrelsen blifvit invalde Handlanden Lars Johan Lundgren och Akademisekreteraren Johan Otto Ernberg , att ledamoten af styrelsen f. d . 	3	3	bolagsstmma
delägame i aktiebolag skånsk konservfabrik kalla att sammanträda till ordinarie bolagsstämma å länsresidens härstädes lördag den 27 april 1895 $ 1 eftermiddag $	Delägame i Aktiebolaget Skånska Konservfabriken kallas att sammanträda till ordinarie bolagsstämma å Länsresidenset härstädes lördagen den 27 april 1895 kl. 1 eftermiddagen . 	10	10	bolagsstmma
$ kristianstad $ hessleholms jernvägsaktiebolag ha vid i $ hålla ordinarie bolagsstämma besluta en utdelning af 8 procent samt att till konung jubileumsfond öfverlemna 1000 krona $	— Kristianstad — Hessleholms jernvägsaktiebolag har vid i går hållen ordinarie bolagsstämma beslutit en utdelning af 8 procent samt att till konungens jubileumsfond öfverlemna 1000 kronor . 	11	11	bolagsstmma
kalla härmed till ordinarie bolagsstämma å hötel rydberg härstädes lördag den 30 mars denna år $ $ $ m $	kallas härmed till ordinarie bolagsstämma å Hötel Rydberg härstädes Lördagen den 30 Mars detta år kl. 2,30 e. m . 	4	4	bolagsstmma
kalla härmed till extra bolagsstämma å bolag kontor härstädes tisdag den 26 nästa mars $ 5 $ m $ för behandling af framstäldt förslag örn ändring af $ 18 i bolagsordning $	kallas härmed till extra bolagsstämma å bolagets kontor härstädes Tisdagen den 26 nästa Mars kl. 5 e. m . för behandling af framstäldt förslag örn ändring af § 18 i bolagsordningen . 	4	4	bolagsstmma
i öfverensstämmelse med beslut vid extra bolagsstämma den 20 oktober ila styrelse till kalmar $ torsås jernvägsaktiebolag afyttra viss del af bolag mark vid kalmar vestra station oell dervid betinga sig samma pris $ som bolag sjelft erlägga för område $ jemte sex proc $	I öfverensstämmelse med beslut vid extra bolagsstämma den 20 oktober Ilar styrelsen till Kalmar — Torsås jernvägsaktiebolag afyttrat viss del af bolagets mark vid Kalmar vestra station oell dervid betingat sig samma pris , som bolaget sjelft erlagt för området , jemte sex proc . 	6	6	bolagsstmma
af inkomst och utgift för innevarande år $ som förelädes bolagsstämma $ ha inkomst för år uppta till $ kr $	af inkomster och utgifter för innevarande år , som förelädes bolagsstämman , hade inkomsterna för året upptagits till 127,000 kr . 	10	10	bolagsstmma
$ $ till ombud att bevaka kommun intresse vid blifvande bolagsstämma med kalmar län östra jernvägsaktiebolag utse enhällig komminister $ möllerberg och till suppleant landtbrukare p $ $ nilsson i oppeboda $	4:o ) Till ombud att bevaka kommunens intressen vid blifvande bolagsstämmor med Kalmar läns östra jernvägsaktiebolag utsågs enhälligt komminister E. Möllerberg och till suppleant landtbrukaren P . O. Nilsson i Oppeboda . 	10	10	bolagsstmma
$ anmälan om deltagande i bolagsstämma göra ä bolag kontor tisdag den 4 juni emellan $ 10 $ m $ och $ 4 $ m $ $ och erinra aktieegarne $ att den som vilja föra talan å bolagsstämma vara skyldig att å ofvan sagd tid i styrelse vård nedsätta talo till en aktie $ för hvilka han ämna föra talan å stämma $	, Anmälan om deltagande i bolagsstämman göres ä bolagets kontor Tisdagen den 4 Juni emellan kl. 10 f. m . och kl. 4 e. m . , och erinras aktieegarne , att den som vill föra talan å bolagsstämman är skyldig att å ofvan sagde tid i styrelsens vård nedsätta talons till de aktier , för hvilka han ämnar föra talan å stämman . 	5	5	bolagsstmma
vid stämma komma att till behandling företa följa ärende $ nämligen $ $ $ berättelse om revision af förening förvaltning och räkenskaper för sistförflutna år $ $ $ decharge för direktion $ $ $ vid sista bolagsstämma af herre revisor väcka förslag om nedbringa af förvaltningsutgift samt direktion deröfver afgifna yttrande $	Vid stämman komma att till behandling företagas följande ärenden , nämligen : l:o ) Berättelsen om revision af Föreningens förvaltning och räkenskaper för sistförflutna året ; 2:o ) Decharge för Direktionen ; 3:o ) Vid sista bolagsstämman af Herrar Revisorer väckta förslag om nedbringande af förvaltningsutgifterna samt Direktionens deröfver afgifna yttrande ; 	36	36	bolagsstmma
$ $ trenne delegares framställan om ersättning för lida smärre ränteförlust $ $ $ af förra år hrr revisor väcka förslag angå utvidgning af förening hus $ $ $ granskningsnämnd till bolagsstämma $ gifna berättelse $ $ $ berättelse om revision af förening förvaltning och räkenskaper för sistförflutna år $ $ $ direktion förslag angå ålderstillägg till biträda ombudsman samt bestämma af lön till kassör $ samt $ $ val af $ a $ ordförande i direktion $ b $ ledamot i direktion för östra distrikt af jönköping och kronobeigs län $	2:o ) Trenne delegares framställningar om ersättning för lidna smärre ränteförluster ; 3:o ) Af förra årets hrr revisorer väckta förslag angående utvidgning af Föreningens hus ; 4:o ) Granskningsnämndens till bolagsstämman af- gifna berättelse ; 5:o ) Berättelsen om revision af Föreningens förvaltning och räkenskaper för sistförflutna året ; 6:o ) Direktionens förslag angående ålderstillägg till biträdande Ombudsmannen samt bestämmande af lön till kassören ; samt 7:o ) Val af : a ) Ordförande i Direktionen ; b ) Ledamöter i Direktionen för östra distrikten af Jönköpings och Kronobeigs län ; 	31	31	bolagsstmma
del i dalsland $ kalla till ordinarie bolagsstämma $ som hålla pä billingsfors bruk lördag den 29 juni innevarande vara $ 4 $ m $	Delegare i Dalslands Kmial-Aktiebolag kallas till ordinarie bolagsstämma , som hålles pä Billingsfors Bruk Lördagen den 29 Juni innevarande är kl. 4 e. m . 	7	7	bolagsstmma
kalla härmed till ordinarie bolagsstämma $ som hålla å ny hotell i kongsbacka fredag den 31 denna $ lie $ m $ för granskning af förliden år räkenskaper samt val af styrelse m $ m $ sätila den 13 maj 1895 $	kallas härmed till ordinarie bolagsstämma , som hålles å Nya Hotellet i Kongsbacka Fredagen den 31 dennes kl. li f. m , för granskning af förlidna årets räkenskaper samt val af styrelse m . m . Sätila den 13 Maj 1895 . 	4	4	bolagsstmma
inlösa $ enligt bolagsstämma beslut $ kupong för 1884 med en krona $	inlöser , enligt bolagsstämmans beslut , kupong för 1884 med en krona . 	3	3	bolagsstmma
inom kalmar län kalla att sammanträda å ryssby gästgifvaregård tisdag den 14 februari 1899 $ $ lie $ $ för val af ombud till år bolagsstämma $	inom Kalmar län kallas att sammanträda å Ryssby gästgifvaregård tisdagen den 14 februari 1899 , kl. li f.m. , för val af ombud till årets bolagsstämma . 	25	25	bolagsstmma
$ 1 $ m $ bolagsstämma med delegarne i lifränteoeh kapitalförsäkringsanstalten i blekinge å anstalt lokal härstädes $	Kl. 1 e. m . bolagsstämma med delegarne i lifränteoeh kapitalförsäkringsanstalten i Blekinge å anstaltens lokal härstädes . 	5	5	bolagsstmma
del i mellersta blekinge jernvägsaktiebolag kalla härmed till ordinarie bolagsstämma fredag den 26 instunda juni $ 12 pä dag å härvarande jernvägsbyrå $	Delegare i Mellersta Blekinge Jernvägsaktiebolag kallas härmed till ordinarie bolagsstämma fredagen den 26 instundande juni kl. 12 pä dagen å härvarande Jernvägsbyrå . 	9	9	bolagsstmma
kalla härmed till extra bolagsstämma den 23 januari 1307 $ lie $ lii $	kallas härmed till extra bolagsstämma den 23 Januari 1307 Kl. li f. lii . 	4	4	bolagsstmma
