sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ som öflverläggningarne synnerligen hetto sig wiv sittning i logerne $ efter plats woro att dela mellan de och ädelheimsta famillen $ fästa jag föga uppuiärksamhet derwid och mer wid papper $ som innehålla nägra pris $ ämna att göra allmän $ hwarwid sselfwa frägeämnet wal war bestämdt $ men framst allningssättet önffades i cn snillrik och smakfull form fä att $ ehuru sak angå armod $ den likwäl i ordalag för ingen del mäta syna fattig $ twertom rik pä sammanstöta $ och $ om den gå an $ stor och liten tafla och dylv wältalighet stundom sä i $ nerl $ prydlig utbreves i $ $	7	1	sittning	— Som öflverläggningarne synnerligen hetto sig wiv sittningen i Logerne , efter platserne woro att dela mellan dem och Ädelheimsta famillen , fäste jag föga uppuiärksamhet derwid och mer wid papperet , som innehöll nägra Prisfrägor , ämnade att göras allmänna , hwarwid sselfwa frägeämnet wal war bestämdt , men framst allningssättet önffades i cn snillrik och smakfull form fä att , ehuru saken angick armodet , den likwäl i ordalagen för ingen del mätte synas fattig — twertom rik pä sammanstötande motsmir.inrtav och , om det ginge an , större och mindre Taflor och dylv wältalighet stundom sä i » nerl !gen prydligt utbreveS i Frägopui^.cter . 	bib11653828_18100316_144028_63_0003_alto.xml-7-7
i den desiutom se en $ i all statsman tanka $ hwilka i england esterträdt hiva $ annan i makt $ högst wigtig alliance äfwentyrad $ och kunna hända ohjelplig förlora genom desia sista sittning $	34	1	sittning	i den desiutom se en , i alla statsmäns tanka , hwilka i England esterträdt hivar / andra i makten , högst wigtig alliance äfwentyrad , och kan hända ohjelpligt förlorad genom desia sista sittningar . 	bib13506739_18280828_144030_200_0001_alto.xml-10-34
olands varmsten $ i $ maning och wind $ läcka med kegel $ samt pä ryggningcn längs takfot $ gaslarne och omkring luckvrne nied kopparplarar $ marandes i bete hus anlägga 7 $ och lifa mänga par qw arn sten frän och med $ kille och med io qmarters diameter $ hwaraf $ inrätta lfwen lill sittning $ all aspaffadt efter behvfmeii och föemänligt lill iverkcts behörig driftdammen och damplakcn $ klä med turst planka $ samt wattenräniian imellan $ och damm öfwe $ bvggd af fini $ planka nied fin stambord $	56	2	sittning	Olands varmsten , i 2:11c maningar och wind , läckt med kegel , samt pä ryggningcn längs takfoten , gaslarne och omkring luckvrne nied kopparplarar ; marandes i betta hus anlagde 7 ö-imerfalls.qwarnar och lifa mänga par qw arn stenar frän och med ^ kill och med io qmarters diameter , hwaraf 2:ne inrättade Lfwen lill sittning , allt aspaffadt efter behvfmeii och föemänligt lill iverkctS behöriga driftDammen och Damplakcn , klädde med turst plankor , samt Wattenräniian imellan Q-wanihusek och Dammen öfwe » bvggd af fini , plankor nied fina Stambord . 	bib11653806_18060801_145120_80_0004_alto.xml-5-56
wid reparation ä 8artyg ha agent att tillse $ den insigtsfull och i yrke erfaren person blifwa utnämna till besigtning och wärderingsmän $ och att besigtning och $ urstiljer säga noga $ som så kunna $ den stada $ som fartyg lida under resa $ fran en bristfällighet $ hwilka böra tillstrifwas wänlig sittning eller aldre städa $	53	3	sittning	wid Reparationer ä 8artyg har Agenten att tillse , det insigtsfulla och i yrket erfarna personer blifwa utnämnde till besigtnings- och wärderingsmän , och att besigtnings- och wärderings-instrumentcr urstiljer sa noga , som ste kan , den stada , som fartyget lidit under resan , fran de bristfälligheter , hwilka böra tillstrifwas wänlig sittning eller aldre städar . 	bib19225772_18270123_148004_9_0001_alto.xml-4-53
om en fricktimmer $ som sy utiliärkt wäl snörlif $ fä i afseende pä sittning $ $ som sjelswa söm $ äfwensom negligcer as enkel men wacker modell $ lemna adrcs uti acrahamjou $ kryddbod wid norrlandsgatan $	14	3	sittning	Om ett Fricktimmer , som syr utiliärkt wäl Snörlif , fä i afseende pä sittning , - som sjelswa sömmen , äfwensom Negligcer asen enkel men wacker modell , lemnas adrcS uti Acrahamjou » Kryddbod wid Norrlandsgatan . 	bib19277277_18300629_147682_146_0004_alto.xml-32-14
regering underhälla stor armeer uti italien och $ $ och den underhällcr jcmwäl en armee i norra tyffland $ hel wistt af ingen annan orsak än art försäkra sig emot en farm $ sorn kunna hota dest i norden $ $ värflvade $ $ sittning $ $	44	4	sittning	Regeringen underhäller stora Armeer uti Italien och H.lvetieu , och det underhällcr jcmwäl en Armee i norra Tyffland , helt wistt af ingen annan orsak än art försäkra sig emot de farm , sorn kunde hota dest i Norden för&gt ; värflvade B&gt ; sittningar . " 	bib11653828_18030901_144028_198_0001_alto.xml-11-44
$ egendomsherre i kurland ha göra till sig enda wigtigaste och glad före $ mäla $ alt i all hänseende förbättra sig bonde tillständ $ att ej blott med uppoffra af egen winning sätta de i bi sittning af en lämplig frihet $ utan äfwen göra de skicklig att njuta densamma $	37	4	sittning	^En Egendomsherre i Kurland har gjort till sitt enda wigtigaste och gladaste före » mäl , alt i alla hänseenden förbättra sina Bönders tillständ , att ej blott med uppoffrande af egen winning sätta dem i bi sittning af en lämplig frihet , utan äfwen göra dem skicklige att njuta densamma . 	bib11653828_18050123_144028_19_0002_alto.xml-5-37
utan föregängen målning läter ingendera sort $ sig med watt $ och sittning vara nödwän $ $ för att fränstilja all gröfre korn $ hwilka eljest $ inurningen stulle förhindra att foga stenarne $ intill hwarandra $ som vara högst angelägen $	12	5	sittning	Utan föregängen målning läter ingendera sorten .rbeta sig med watten , och sittningen är nödwän . , för att fränstilja alla gröfre korn , hwilka eljest .ber inurningen stulle förhindra att foga stenarne ^ intill hwarandra , som är högst angeläget . 	bib15650837_18300417_146391_31_0003_alto.xml-8-12
om en grnmimmer $ som fyr utmärkt wäl snörlif $ fä i afseende pä sittning $ som fielfwa söm $ lnvensom negligker as enkel men wacker modell $ lem adreg uti abrahamjoiis kryddbod wid norrlandegatan $	14	5	sittning	Om ett grnmimmer , som fyr utmärkt wäl Snörlif , fä i afseende pä sittning , som fielfwa sömmen , Lnvensom Negligker asen enkel men wacker modell , lemnaS adreg uti Abrahamjoiis Kryddbod wid Norrlandegatan . 	bib19277277_18300621_147682_140_0004_alto.xml-20-14
witz vatz i af hwad de vara $ $ 8 belupo sig till $ inkomst af ultramarinsk tre $ sittning oberäknad $	19	6	sittning	witz vatz i af hwad de är r8c&gt ; 8 belupo sig till , inkomsterna af ultramarinska tre » sittningarne oberäknade . 	bib19277346_18251112_147394_45_0003_alto.xml-0-19
twenne ljus och $ $ $ ckra ungkarlsrum wid stortorg $ samt $ rum och kök $ jemte uthus wid wc $ serlänggatan $ nära jerntorget $ äro till in $ $ sittning att hyra $	32	7	sittning	Twenne ljusa och w&gt ; : ckra Ungkarlsrum wid Stortorget , samt 3:nc Rum och Kök , jemte Uthus wid Wc » Serlänggatan , nära Jerntorget , äro till in } , sittning att hyra . 	bib13506739_18220726_144030_171_0006_alto.xml-5-32
en hederlig fruntimmer $ som vara kunnig i bakeliebakning och tillredning af glacer samt sittning as all sort bära och frukt $ astundar plats s $ m husmamsell t en bra hus $ i brist de som biträde i busballningen och sömnad $ om ctr hederlig ock onständlgt uppföda ande försäkra $	14	8	sittning	Ett hederligt Fruntimmer , som är kunnig i Bakeliebakning och tillredning af Glacer samt sittning as alla sorter bär och frukter , astundar platS s » m Husmamsell t ett bättre Hus ; i brist deras som biträde i busballningen och sömnader ; om ctr hederligt ock onständlgt uppföd ande försäkras . 	bib13506739_18210312_144030_59_0014_alto.xml-12-14
en flicka kundar till $ äiia sittning $ eller $ $ hon kunna sy kläder och ar na $ alt stöta knare kläder $ hen lofwar att med flit och uppnnufiambet uträtta invad txunc bli anförtro $	6	11	sittning	En Flicka Kundar till » äiia Sittning Äaminar- eller Frökenpigc-tienst ; hon kan sy Kläder och ar na » alt stöta Knare Kläder ; hen lofwar att med flit och uppnnUfiambet uträtta Invad txunc blir anförtrott . 	bib13506739_18170123_144030_18_0011_alto.xml-1-6
sort sittning $ mäl och lavering $ pasiande för bada kön $	1	12	sittning	sorter Sittning , Mälning och Lavering , pasiande för bada könen , 	bib13506739_18091106_144030_258_0008_alto.xml-3-1
